"PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1415688_at","Ube2g1","67128","ubiquitin-conjugating enzyme E2G 1",1.17156887122798,5.05777710288108,4.34121702797,0.000480326272304815,0.0108468937757021,-0.0660730235606435
"1415707_at","Anapc2","99152","anaphase promoting complex subunit 2",-1.02246182867966,5.18711712395017,-4.79394032355534,0.000186560207607285,0.00635709526705186,0.851668641610212
"1415743_at","Hdac5","15184","histone deacetylase 5",-1.12656877308204,3.41079440729419,-5.02642820398537,0.000115676936115692,0.00495893069058108,1.3158460083247
"1415747_s_at","Riok3","66878","RIO kinase 3",1.12213032909033,5.23257522886329,3.43024279303952,0.00333669767647839,0.031535556235589,-1.93487936842268
"1415764_at","Zc3h11a","70579","zinc finger CCCH type containing 11A",1.17945778257031,6.02068383604426,3.66355264652087,0.00202791857154631,0.0234819271237496,-1.45734043137067
"1415764_at","Zbed6","667118","zinc finger, BED type containing 6",1.17945778257031,6.02068383604426,3.66355264652087,0.00202791857154631,0.0234819271237496,-1.45734043137067
"1415816_at","Cct7","12468","chaperonin containing Tcp1, subunit 7 (eta)",-1.33222265010584,6.25225579153192,-4.68761114051454,0.000232573008282934,0.00711107687217522,0.63760837805727
"1415887_at","Tfg","21787","Trk-fused gene",1.0125066304783,6.24289920669068,3.86921932534427,0.00130748322235641,0.0183113413328574,-1.03467301654815
"1415966_a_at","Ndufv1","17995","NADH:ubiquinone oxidoreductase core subunit V1",-1.29109942400483,8.55126954829474,-4.69062263979029,0.000231121918579936,0.00708585979646292,0.643685117182724
"1415968_a_at","Kap","16483","kidney androgen regulated protein",1.31705768397207,4.59465786541753,5.57900559310972,3.80836388222797e-05,0.00286315527862888,2.39411274211743
"1416035_at","Hif1a","15251","hypoxia inducible factor 1, alpha subunit",1.14413051638785,3.19607923184929,3.41140572111812,0.00347342440567445,0.032099889038786,-1.97328016176982
"1416048_at","Phc2","54383","polyhomeotic 2",-1.56849818081071,3.29840029321598,-5.87848261273327,2.11934785485156e-05,0.00199801519016131,2.96181503816411
"1416054_at","Rps5","20103","ribosomal protein S5",-1.56173589698375,5.1300590036318,-4.99302797119253,0.000123854490715066,0.00507668787485339,1.24950863857787
"1416074_a_at","Rpl28","19943","ribosomal protein L28",-1.3802013580464,8.94997947327198,-4.49115706284072,0.00035047550144429,0.00893002105369201,0.239583464252958
"1416074_a_at","Gm10051","100039731","predicted pseudogene 10051",-1.3802013580464,8.94997947327198,-4.49115706284072,0.00035047550144429,0.00893002105369201,0.239583464252958
"1416078_s_at","Raf1","110157","v-raf-leukemia viral oncogene 1",-1.23835816361853,4.74484234243892,-6.8985646027798,3.15149921470692e-06,0.000660239085481101,4.7976110398813
"1416082_at","Rab1a","19324","RAB1A, member RAS oncogene family",1.0550704753521,5.54374433993526,3.96928109093648,0.00105646546535007,0.0162388502846541,-0.828905630045446
"1416088_a_at","Rps15","20054","ribosomal protein S15",-1.44913023298555,5.18800374590122,-5.64516486233513,3.34249487817189e-05,0.00264431080816493,2.52058996106704
"1416094_at","Adam9","11502","a disintegrin and metallopeptidase domain 9 (meltrin gamma)",1.00967221516839,3.94576215681084,3.36330735725671,0.00384828775551565,0.0337076171477271,-2.07119590642121
"1416100_at","Eif3d","55944","eukaryotic translation initiation factor 3, subunit D",-1.05821725661135,3.54552247535159,-4.31509700750714,0.000507523715130567,0.0111056398245108,-0.119458037958919
"1416108_a_at","Tmed3","66111","transmembrane p24 trafficking protein 3",-2.07630453921903,3.67699890905225,-7.64669543058274,8.52115860032201e-07,0.000314957128276225,6.04424700058935
"1416153_at","Srp54a","24067","signal recognition particle 54A",1.57396329712151,7.12480170839392,3.04919442245528,0.00749179423204706,0.0486338852805118,-2.70428064501936
